year_week,Date,retorno acumulado,GSRAII Index,pct_1_sem,pct_2_sem,pct_3_sem,pct_4_sem,pct_5_sem,mean,gsrai_gt_up,gsrai_gt_down,gsrai_lt_up,gsrai_lt_down,gsrai_diff,classe
1997-00,1997-01-03,1.0047390950657726,0.13,,,,,,,0,0,0,0,,
1997-01,1997-01-10,1.0073561459002622,0.22,0.260470688096226,,,,,,0,0,0,0,0.09,
1997-02,1997-01-17,1.0213984657788,0.36,1.3939776846239704,1.6580792759872454,,,,0.23666666666666666,1,0,0,0,0.13999999999999999,gsrai_gt_up
1997-03,1997-01-24,1.0084538032612032,0.37,-1.2673469709714835,0.10896417969039618,0.3697186875352365,,,0.31666666666666665,1,0,0,0,0.010000000000000009,gsrai_gt_up
1997-04,1997-01-31,1.0153808673597626,0.29,0.6868994966510389,-0.5891528742848706,0.7966121507432478,1.059157779989972,,0.34,0,1,0,0,-0.08000000000000002,gsrai_gt_down
1997-05,1997-02-07,1.009683994090721,0.22,-0.5610577717359289,0.12198782190513402,-1.1469051580322187,0.2310849246249802,0.49215752121445355,0.29333333333333333,0,1,0,0,-0.06999999999999998,gsrai_gt_down
1997-06,1997-02-13,1.0309714129581784,0.09,2.1083248810562782,1.5354381887217272,2.2328846025625015,0.9372392362151372,2.3442818266435017,0.19999999999999998,0,1,0,0,-0.13,gsrai_gt_down
1997-07,1997-02-20,1.0357944472774634,0.03,0.46781455418305473,2.586002485882366,2.0104357462221056,2.7111449158944367,1.4094383319527282,0.11333333333333333,0,1,0,0,-0.06,gsrai_gt_down
1997-08,1997-02-28,1.0263836962949229,0.05,-0.9085539131124198,-0.44498970636750457,1.653953345991277,1.0836159404667756,1.7779587895585092,0.056666666666666664,0,1,0,0,0.020000000000000004,gsrai_gt_down
1997-09,1997-03-07,1.0392035471570904,0.3,1.2490310308362451,0.32912899741717183,0.7984832649521767,2.9236427673545062,2.3461816706545235,0.12666666666666668,1,0,0,0,0.25,gsrai_gt_up
1997-10,1997-03-14,1.0306892911488035,0.33,-0.8193059032158834,0.41949174265170086,-0.49287347910375034,-0.027364658789663654,2.080383286356735,0.22666666666666666,1,0,0,0,0.030000000000000027,gsrai_gt_up
1997-11,1997-03-21,1.0203845986083309,0.33,-0.999786514613632,-1.8109011078957349,-0.5844887938348808,-1.4877323111392005,-1.026877585234942,0.32,1,0,0,0,0.0,gsrai_gt_up
1997-12,1997-03-28,1.0159333207996546,0.44,-0.43623529939076366,-1.4316603923091087,-2.2392366174167955,-1.0181743467859494,-1.9174775970283275,0.3666666666666667,1,0,0,0,0.10999999999999999,gsrai_gt_up
1997-13,1997-04-04,0.9854164937427573,0.41,-3.0038218485517465,-3.4269534167083116,-4.392477713199606,-5.175795787213799,-3.991412051852583,0.3933333333333333,1,0,0,0,-0.030000000000000027,gsrai_gt_up
1997-14,1997-04-11,0.9757901539763888,0.47,-0.9768803168502149,-3.9513584210102093,-4.370356500163075,-5.326448779847537,-6.102114773778366,0.43999999999999995,1,0,0,0,0.06,gsrai_gt_up
1997-15,1997-04-18,1.0026752213397814,0.27,2.7552099448672207,1.7514145243777035,-1.3050166963160081,-1.735559052214497,-2.7179936814709427,0.3833333333333333,0,1,0,0,-0.19999999999999996,gsrai_gt_down
1997-16,1997-04-25,1.0066272785868249,0.28,0.39415128278155187,3.160220922989776,2.1524690299739024,-0.916009153583508,-1.348248497700688,0.34,0,1,0,0,0.010000000000000009,gsrai_gt_down
1997-17,1997-05-02,1.0423989090849646,0.26,3.5536122713024865,3.961770162436462,6.8261351928119,5.782571704861539,2.6050517040309806,0.27,0,1,0,0,-0.020000000000000018,gsrai_gt_down
1997-18,1997-05-09,1.0668568234824316,0.17,2.346310436849608,5.983301483758829,6.401036026091322,9.33260795212394,8.264559225140623,0.23666666666666666,0,1,0,0,-0.09,gsrai_gt_down
1997-19,1997-05-16,1.0862323856297715,0.15,1.8161351852345353,4.205057791482614,7.9081015124785825,8.333422678815229,11.31823591407699,0.19333333333333333,0,1,0,0,-0.020000000000000018,gsrai_gt_down
1997-20,1997-05-23,1.0854837822833838,0.37,-0.06891742101333698,1.7459661306894247,4.133242353087252,7.833734031851725,8.25876207780951,0.22999999999999998,1,0,0,0,0.22,gsrai_gt_up
1997-21,1997-05-30,1.0821418276508838,0.37,-0.30787697495304744,-0.3765822150953557,1.4327137280294888,3.812640076610041,7.501738793535551,0.29666666666666663,1,0,0,0,0.0,gsrai_gt_up
1997-22,1997-06-06,1.0797521482572268,0.21,-0.22082866890420494,-0.5280257632315988,-0.5965792825066374,1.2087212164704875,3.583392005374564,0.31666666666666665,0,1,0,0,-0.16,gsrai_gt_down
1997-23,1997-06-12,1.0911809499880818,0.04,1.0584652921785453,0.835299228458819,0.5248505595093933,0.4555714250262577,2.2799804032045623,0.20666666666666664,0,1,0,0,-0.16999999999999998,gsrai_gt_down
1997-24,1997-06-20,1.0965336093610583,0.11,0.4905381983652646,1.5541956671183854,1.3299348886103068,1.0179633503533791,0.9483443752521081,0.11999999999999998,0,1,0,0,0.07,gsrai_gt_down
1997-25,1997-06-26,1.0895455797032392,0.02,-0.6372836726720066,-0.14987159415315032,0.907007359218448,0.6841757580360319,0.374192363455772,0.05666666666666664,0,1,0,0,-0.09,gsrai_gt_down
1997-26,1997-07-04,1.104338333500774,0.05,1.3576993999244946,0.7117633306527926,1.20579300003687,2.277021192616324,2.051164208121814,0.05999999999999998,0,1,0,0,0.030000000000000002,gsrai_gt_down
