year_week,acwi_log_diff
1997-00,
1997-01,-0.004398451483144248
1997-02,0.022478500910383045
1997-03,-0.013039464356939718
1997-04,0.010742949806241226
1997-05,0.00021964023018725723
1997-06,0.01973056764913461
1997-07,0.00020573424471208716
1997-08,-0.008117863432661302
1997-09,0.007151023106159138
1997-10,-0.009932948194553233
1997-11,-0.009109721422781129
1997-12,0.0005221002209439813
1997-13,-0.021293921410072875
1997-14,-0.016586194611179828
1997-15,0.026019524991203684
1997-16,0.003724949615387161
1997-17,0.03922846845717621
1997-18,0.025321118156662433
1997-19,0.018785791899977748
1997-20,0.009273400104265413
1997-21,-0.008802933202433335
1997-22,0.015829973449371437
1997-23,0.028018520813117547
1997-24,0.005490914096388522
1997-25,0.0015657668142071916
1997-26,0.022306263183737508
1997-27,0.00022275412449914247
1997-28,-0.001951835723238817
1997-29,0.010846547532633328
1997-30,-0.0008500673481836408
1997-31,-0.0064993411609357244
1997-32,-0.027829384877897222
1997-33,0.0011383433161496952
1997-34,-0.031212801558606507
1997-35,0.027517088864144477
1997-36,-0.0127938712517062
1997-37,0.023476598196921206
1997-38,0.0078051297702804515
1997-39,0.01675021793492105
1997-40,-0.006123502399617908
1997-41,-0.015214601880510409
1997-42,-0.02284151923621801
1997-43,-0.030846126599545925
1997-44,-0.0012114963008900653
1997-45,-0.01460330586423976
1997-46,0.04371070666954212
1997-47,-0.014119229958759404
1997-48,0.023629191611659557
1997-49,-0.030440166239986226
1997-50,-0.003833429832897637
1997-51,-0.005944831096886254
1997-52,0.028148935353328467
1998-00,0.0022662178998917263
1998-01,-0.04305164333199295
1998-02,0.029358898571013106
1998-03,0.010443048341508986
1998-04,0.021403298854403476
1998-05,0.03721754260491658
1998-06,-0.0036687693929665323
1998-07,0.011430774728455826
1998-08,0.019893216657407627
1998-09,0.001867985534880875
1998-10,0.01787032422290317
1998-11,0.01622802153307537
1998-12,0.007620972772904898
1998-13,0.005535917684731839
1998-14,0.008819312091240851
1998-15,-3.422528221941951e-05
1998-16,-0.009871386300723399
1998-17,0.006763416204077578
1998-18,-0.00863938741529688
1998-19,-0.003442012483151434
1998-20,0.007811262725612817
1998-21,-0.022803685700247493
1998-22,0.01305614932813306
1998-23,-0.029630721390524795
1998-24,0.013194260611345857
1998-25,0.01125854856807034
1998-26,0.023363995293238297
1998-27,0.003757585464231247
1998-28,0.0319081117114615
1998-29,-0.03293805201296242
1998-30,-0.018502654690575125
1998-31,-0.03467130158225734
1998-32,-0.03393075983423867
1998-33,0.0009089106918690923
1998-34,-0.051219834826896925
1998-35,-0.018720919134586306
1998-36,0.015503641465298177
1998-37,-0.0018200114573719962
1998-38,0.010239605480574262
1998-39,-0.05242113036360704
1998-40,0.0071466820708956606
1998-41,0.07830736231647485
1998-42,0.012290601761020868
1998-43,0.019981682025424462
1998-44,0.03419167109986173
1998-45,-0.020925072073269775
1998-46,0.042517475686590915
1998-47,0.021413526365480415
1998-48,-0.02250592205930117
1998-49,-0.003107387821914019
1998-50,0.01542611903736948
1998-51,0.026163902760455743
1998-52,0.008521353900586615
1999-00,0.0
1999-01,0.03547367209483179
1999-02,-0.03291566798851608
1999-03,-0.010371074752537984
1999-04,0.026840485216216712
1999-05,-0.022054299704750053
1999-06,-0.007311737748903602
1999-07,-0.002973101748125807
1999-08,0.005635088437317183
1999-09,0.0164633539046467
1999-10,0.024321620782929244
1999-11,0.010819099503558331
1999-12,-0.020372519391137166
1999-13,0.016811942921007152
1999-14,0.03422972500755161
1999-15,-0.00853298131157351
1999-16,0.013742367256245763
1999-17,-0.003692545161327438
1999-18,0.0061961145596364725
1999-19,-0.013355944099704201
1999-20,-0.008519475747920712
1999-21,-0.0221287107203837
1999-22,0.018719847834716273
1999-23,0.0048647803448657245
1999-24,0.020042006529657198
1999-25,-0.014277056520594012
1999-26,0.03804209470072415
1999-27,0.00261697632324267
1999-28,0.0092912960580279
1999-29,-0.036239821677471806
1999-30,-0.0005297083859958576
1999-31,-0.024107840755542443
1999-32,0.01505960060972688
1999-33,0.01659618164666608
1999-34,0.006576752767757693
1999-35,0.0050152537316483494
1999-36,0.0033152835710928206
1999-37,-0.01610711459768227
1999-38,-0.028922146218559444
1999-39,0.009331637350173857
1999-40,0.028747045715077916
1999-41,-0.04179289400274228
1999-42,0.024413451813630773
1999-43,0.03567317734252999
1999-44,0.006847693803766251
1999-45,0.016512143571690955
1999-46,0.01845547434801723
1999-47,0.006216847881064308
1999-48,0.007697814330221912
1999-49,0.005440900705547539
1999-50,0.00391460664692325
1999-51,0.030824554101246272
1999-52,0.012598568641570098
2000-01,-0.030245636853618103
2000-02,0.02038528339405655
2000-03,-0.01830868356857529
2000-04,-0.030241615084010243
2000-05,0.03408504024906767
2000-06,-0.009422930782752144
2000-07,-0.02321394167233492
2000-08,-0.002460338769614067
2000-09,0.037284274871166645
2000-10,-0.0067894998445853
2000-11,0.015591098871024328
2000-12,0.03374916193779196
2000-13,-0.012040499256185298
2000-14,0.0005426715533877078
2000-15,-0.07435683677990422
2000-16,0.021450549467675405
2000-17,0.0053721337178421116
2000-18,-0.00959610193956364
2000-19,-0.010309608397642417
2000-20,-0.022335953942063187
2000-21,-0.010672800417275738
2000-22,0.06643751531774587
2000-23,-0.006613266850228602
2000-24,-0.0005954099210399034
2000-25,-0.010763169052771766
2000-26,0.009077779645159356
2000-27,0.01209760749518872
2000-28,0.007256064866855688
2000-29,-0.01972926263382553
2000-30,-0.036506675265756475
2000-31,0.011704918164119036
2000-32,0.008679641073780765
2000-33,0.009648322826776
