BCOM Index|0|2|19970102|N.A.|122.5745|
BCOM Index|0|2|19970103|N.A.|122.5086|
BCOM Index|0|2|19970106|N.A.|124.4082|
BCOM Index|0|2|19970107|N.A.|124.372|
BCOM Index|0|2|19970108|N.A.|125.0008|
BCOM Index|0|2|19970109|N.A.|124.8161|
BCOM Index|0|2|19970110|N.A.|124.712|
BCOM Index|0|2|19970113|N.A.|123.9661|
BCOM Index|0|2|19970114|N.A.|124.0455|
BCOM Index|0|2|19970115|N.A.|125.6873|
BCOM Index|0|2|19970116|N.A.|124.4821|
BCOM Index|0|2|19970117|N.A.|123.9303|
BCOM Index|0|2|19970121|N.A.|122.9441|
BCOM Index|0|2|19970122|N.A.|123.169|
BCOM Index|0|2|19970123|N.A.|123.204|
BCOM Index|0|2|19970124|N.A.|123.3229|
BCOM Index|0|2|19970127|N.A.|123.8229|
BCOM Index|0|2|19970128|N.A.|123.2202|
BCOM Index|0|2|19970129|N.A.|123.1462|
BCOM Index|0|2|19970130|N.A.|123.27|
BCOM Index|0|2|19970131|N.A.|122.2915|
BCOM Index|0|2|19970203|N.A.|122.1586|
BCOM Index|0|2|19970204|N.A.|122.2623|
BCOM Index|0|2|19970205|N.A.|122.4419|
BCOM Index|0|2|19970206|N.A.|121.165|
BCOM Index|0|2|19970207|N.A.|119.8387|
BCOM Index|0|2|19970210|N.A.|120.1286|
BCOM Index|0|2|19970211|N.A.|120.2344|
BCOM Index|0|2|19970212|N.A.|120.5259|
BCOM Index|0|2|19970213|N.A.|120.8561|
BCOM Index|0|2|19970214|N.A.|121.1475|
BCOM Index|0|2|19970218|N.A.|121.6379|
BCOM Index|0|2|19970219|N.A.|122.5968|
BCOM Index|0|2|19970220|N.A.|122.6182|
BCOM Index|0|2|19970221|N.A.|122.7309|
BCOM Index|0|2|19970224|N.A.|121.9642|
BCOM Index|0|2|19970225|N.A.|122.7792|
BCOM Index|0|2|19970226|N.A.|123.469|
BCOM Index|0|2|19970227|N.A.|123.3018|
BCOM Index|0|2|19970228|N.A.|123.0913|
BCOM Index|0|2|19970303|N.A.|123.9837|
BCOM Index|0|2|19970304|N.A.|124.72|
BCOM Index|0|2|19970305|N.A.|123.6761|
BCOM Index|0|2|19970306|N.A.|124.7745|
